Tweet,Labels,0,1,2,3,4,5,6,7,8,9,10
joke hop plane in well couid laugh out loud,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
whose response spread fake common story tandem corona situate,[6],0,0,0,0,0,0,1,0,0,0,0
im wait someone say corona thing april fool joke,"[3, 4]",0,0,0,1,1,0,0,0,0,0,0
liar proven day night time lie truth couid,[6],0,0,0,0,0,0,1,0,0,0,0
new us death toll reach nearly new death report today no news couid,[8],0,0,0,0,0,0,0,0,1,0,0
impact govt extend deadline relax section i i,"[5, 8]",0,0,0,0,0,1,0,0,1,0,0
peopl might die china couid china accord source,"[6, 7, 8]",0,0,0,0,0,0,1,1,1,0,0
dear chinese kindly cook bat thoroughly next time regard couid,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
govt kenya check temperature couid say still low sana,"[3, 6, 9]",0,0,0,1,0,0,1,0,0,1,0
mental health hasn't suffer quarantine haha april fool,[10],0,0,0,0,0,0,0,0,0,0,1
die watch concert live corona virus pal tri understand,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
complete wanker hope die your fuck dickhead,[6],0,0,0,0,0,0,1,0,0,0,0
anyon els fu ad kill since hit,"[0, 5, 10]",1,0,0,0,0,1,0,0,0,0,1
heard once franc couid coma critic conduit guy pleas aint joke safe,"[4, 5]",0,0,0,0,1,1,0,0,0,0,0
moment realize new medic side effect ident corona virus symptom know,"[4, 9]",0,0,0,0,1,0,0,0,0,1,0
book wine two greatest pleasure perfect see us couid stay safe,"[1, 10]",0,1,0,0,0,0,0,0,0,0,1
three team fight couid day night doctor nurse policemen khan or team cell,"[0, 1]",1,1,0,0,0,0,0,0,0,0,0
six new case report take state tall,[8],0,0,0,0,0,0,0,0,1,0,0
watch govern play corona virus big april fool joke,[10],0,0,0,0,0,0,0,0,0,0,1
lot chatter staff nightingale pop hospital come couid,"[4, 7, 9]",0,0,0,0,1,0,0,1,0,1,0
dont survive corona virus tandem know dumb bitch carol basin kill,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
anyon good roundup country billionaire done respond,[6],0,0,0,0,0,0,1,0,0,0,0
trump wed air cut,"[0, 8, 9]",1,0,0,0,0,0,0,0,1,1,0
what procedure corona test guy whole village need get test asap,"[4, 9]",0,0,0,0,1,0,0,0,0,1,0
folk order pizza make sure corona free bitch yall order pizza,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
wonder what gon na come next first kobe corona what next,"[3, 6]",0,0,0,1,0,0,1,0,0,0,0
problem poverty cover cover religion issue chang relief corona well,"[0, 4]",1,0,0,0,1,0,0,0,0,0,0
envious pigeon poo brain day dont worry co dont thought,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
push free therapy health care worker couid arc come end,"[1, 2]",0,1,1,0,0,0,0,0,0,0,0
pleas bring back when corona im beg,[10],0,0,0,0,0,0,0,0,0,0,1
emerge warn sign couid new confuse final arouse bluish lip face,"[4, 8]",0,0,0,0,1,0,0,0,1,0,0
hope corona virus one big ass joke good one world,"[3, 4, 10]",0,0,0,1,1,0,0,0,0,0,1
neighbour you hear cough water went wrong hole corona,[10],0,0,0,0,0,0,0,0,0,0,1
